Brokerage,Trade Price,Speed of Execution,Satisfaction Electronic Trades
"Scottrade, Inc.",3.4,3.4,3.5
Charles Schwab,3.2,3.3,3.4
Fidelity Brokerage Services,3.1,3.4,3.9
TD Ameritrade,2.9,3.6,3.7
E*Trade Financial,2.9,3.2,2.9
(Not listed),2.5,3.2,2.7
Vanguard Brokerage Services,2.6,3.8,2.8
USAA Brokerage Services,2.4,3.8,3.6
Thinkorswim,2.6,2.6,2.6
Wells Fargo Investments,2.3,2.7,2.3
Interactive Brokers,3.7,4.0,4.0
Zecco.com,2.5,2.5,2.5
Firstrade Securities,3.0,3.0,4.0
Banc of America Investment Services,4.0,1.0,2.0
