Team,Conf,Yds/Att,Int/Att,Win%
Arizona Cardinals,NFC,6.5,0.042,50.0
Atlanta Falcons,NFC,7.1,0.022,62.5
Carolina Panthers,NFC,7.4,0.033,37.5
Cincinnati Bengals,AFC,6.2,0.026,56.3
Detroit Lions,NFC,7.2,0.024,62.5
Green Bay Packers,NFC,8.9,0.014,93.8
Houstan Texans,AFC,7.5,0.019,62.5
Indianapolis Colts,AFC,5.6,0.026,12.5
Jacksonville Jaguars,AFC,4.6,0.032,31.3
Minnesota Vikings,NFC,5.8,0.033,18.8
New England Patriots,AFC,8.3,0.020,81.3
New Orleans Saints,NFC,8.1,0.021,81.3
Oakland Raiders,AFC,7.6,0.044,50.0
San Francisco 49ers,NFC,6.5,0.011,81.3
Tennessee Titans,AFC,6.7,0.024,56.3
Washington Redskins,NFC,6.4,0.041,31.3
