Player,RPG,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,AVG
D Jeter,6.51,202,25,5,19,70,77,117,14,5,0.389,0.45,0.309
H Matsui,6.32,192,45,3,23,116,63,78,2,2,0.367,0.496,0.305
A Rodriguez,9.06,194,29,1,48,130,91,139,21,6,0.421,0.61,0.321
G Sheffield,6.93,170,27,0,34,123,78,76,10,2,0.379,0.512,0.291
R Cano,5.01,155,34,4,14,62,16,68,1,3,0.32,0.458,0.297
B Williams,4.14,121,19,1,12,64,53,75,1,2,0.321,0.367,0.249
J Posada,5.36,124,23,0,19,71,66,94,1,0,0.352,0.43,0.262
J Giambi,9.11,113,14,0,32,87,108,109,0,0,0.44,0.535,0.271
T Womack,2.91,82,8,1,0,15,12,49,27,5,0.276,0.28,0.249
T Martinez,5.08,73,9,0,17,49,38,54,2,0,0.328,0.439,0.241
M Bellhorn,4.07,63,20,0,8,30,52,112,3,0,0.324,0.357,0.21
R Sierra,3.27,39,12,0,4,29,9,41,0,0,0.265,0.371,0.229
J Flaherty,1.83,21,5,0,2,11,6,26,0,0,0.206,0.252,0.165
B Crosby,3.48,27,0,1,1,6,4,14,4,1,0.304,0.327,0.276
M Lawton,5.15,6,0,0,2,4,7,8,1,0,0.263,0.25,0.125
R Sanchez,3.36,12,1,0,0,2,2,3,0,1,0.326,0.302,0.279
A Phillips,2.13,6,4,0,1,4,1,13,0,0,0.171,0.325,0.15
M Cabrera,1.19,4,0,0,0,0,0,2,0,0,0.211,0.211,0.211
R Johnson,3.44,4,2,0,0,0,1,4,0,0,0.3,0.333,0.222
F Escalona,5.31,4,1,0,0,2,1,4,0,0,0.375,0.357,0.286
