Student,Copied from Internet,Copied on Exam,Collaborated on Individual Project,Gender
1,No,No,No,Female
2,No,No,No,Male
3,Yes,No,Yes,Male
4,Yes,Yes,No,Male
5,No,No,Yes,Male
6,Yes,No,No,Female
7,Yes,Yes,Yes,Female
8,Yes,Yes,Yes,Male
9,No,No,No,Male
10,Yes,No,No,Female
11,No,No,No,Male
12,No,Yes,Yes,Female
13,No,No,Yes,Male
14,No,No,No,Male
15,No,Yes,Yes,Male
16,No,No,No,Male
17,No,No,No,Male
18,No,No,No,Female
19,No,No,No,Female
20,No,No,Yes,Male
21,No,No,No,Male
22,Yes,No,No,Female
23,No,No,No,Female
24,No,No,No,Male
25,No,No,Yes,Female
26,No,Yes,No,Female
27,No,No,No,Female
28,No,No,Yes,Male
29,No,No,Yes,Male
30,No,No,No,Male
31,No,No,No,Male
32,Yes,Yes,Yes,Female
33,No,Yes,Yes,Male
34,No,No,No,Male
35,No,No,No,Female
36,Yes,No,Yes,Female
37,Yes,No,Yes,Male
38,No,No,No,Female
39,Yes,Yes,Yes,Male
40,Yes,Yes,Yes,Female
41,No,Yes,Yes,Male
42,No,No,No,Female
43,No,No,Yes,Female
44,No,No,Yes,Male
45,No,No,Yes,Male
46,No,No,No,Female
47,No,No,No,Male
48,Yes,No,No,Male
49,No,No,No,Male
50,Yes,No,No,Female
51,No,No,No,Male
52,No,No,No,Male
53,Yes,Yes,No,Male
54,No,No,No,Male
55,No,No,No,Female
56,No,No,Yes,Male
57,No,No,No,Male
58,No,No,No,Female
59,No,No,No,Female
60,No,No,No,Female
61,No,No,No,Female
62,No,No,No,Male
63,No,No,No,Female
64,No,No,No,Female
65,No,No,No,Male
66,No,Yes,Yes,Female
67,No,No,No,Female
68,Yes,Yes,Yes,Female
69,No,No,No,Male
70,No,No,No,Female
71,No,No,No,Female
72,No,No,No,Male
73,No,No,No,Male
74,No,Yes,Yes,Female
75,No,No,No,Female
76,No,Yes,Yes,Female
77,No,No,No,Female
78,No,No,No,Male
79,No,No,No,Female
80,No,No,No,Female
81,No,No,No,Female
82,No,No,No,Male
83,No,No,No,Male
84,No,No,No,Female
85,No,Yes,Yes,Male
86,No,No,No,Male
87,No,No,Yes,Male
88,No,No,No,Male
89,No,Yes,Yes,Male
90,No,No,No,Female
